Title,Author,Source,Persona,Date_Collected,Trend_Reason,Genre Tag(s),Series,Publisher,First_Publish_Year,Page_Count,Adaptation,Diversity_Rep,Content_Warnings,Description,Notes,,,,"why trending? New release, adaptation buzz, politics, author controversy? ",,,,,Publisher,First Publish Year,Subject Tags,Is_Series,Adaptation,Pacing,Diverrsity Representation,Content Warnings,,,,,
Swordheart,T. Kingfisher,Barnes and Noble Reads,,,,Romantasy,,,,,,,,,offered for sale at B&N checkout for addons,,,,,,,,,,,cozy,,,,,,,,,,
Water Moon: A Novel,Samantha Sotto Yambao,Barnes and Noble Reads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Onyx Storm,Rebecca Yarros,Barnes and Noble Reads,,,,Romantasy,,,,,,,,,"very anticipated release, many release parties at bookstores",,,,,,,,,,,,,,,,,,,,,
I Got Abducteed by Aliens and Now I'm Trapped in a Rom-Com,Kimberly Lemming,Barnes and Noble Reads,,,,Romantasy,,,,,,,,,,,,,,,,,,,,"spicy, funny alien romance",,,,,,,,,,
The Devils,Joe Abercrombie,Barnes and Noble Reads,,,,Fantasy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The River Has Roots,Amal El-Mohtar,Barnes and Noble Reads,,,,Fantasy,,,,,,,,,very populat author and short read <150 pages,,,,,,,,,,,gothic,,,,,,,,,,
Bury Our Bones in the Midnight Soil,V. E. Schwab,Barnes and Noble Reads,,,,,,,,,,,,,new series,,,,,,,,,,,,,,,,,,,,,
The Knight and the Moth ,Rachel Gilig,Barnes and Noble Reads,,,,,,,,,,,,,"very anticipated release, many special editions, rising/popular author",,,,,,,,,,,,,,,,,,,,,
A Curse Carved in Bone,Danielle L. Jensen,Barnes and Noble Reads,,,,,,,,,,,,,sequal of anticipated series,,,,,,,,,,,,,,,,,,,,,
Silver Elite,Dani Francis,Barnes and Noble Reads,,,,,,,,,,,,,controversial author,,,,,,,,,,,contemporary romance / new adult,,,,,,,,,,re-releases / new covers
Deep Cuts,Holly Brickley,Barnes and Noble Reads,,,,Fiction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zodiac Academy 
Broken Country,Clare Leslie Hall,Barnes and Noble Reads,,,,Fiction,,,,,,,,,Reese's Book Club,,,,,,,,,,,,,,,,,,,,,Bridge Kingdom Series
The Sirens,Emilia Hart,Barnes and Noble Reads,,,,Fiction,,,,,,,,,,,,,,,,,,,,historical fantasy,,,,,,,,,,classic series - people getting back into reading - esp men
The Amalfi Curse,Sarah Penner,Barnes and Noble Reads,,,,Fiction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wild Dark Shore,Charlotte McConaghy,Barnes and Noble Reads,,,,Fiction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Good Dirt,Charmaine Wilkerson,Barnes and Noble Reads,,,,Fiction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,always trending
The Life Cycle of the Common Octopus,Emma Kinght,Barnes and Noble Reads,,,,Fiction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sarah J Maas
My Friends,Fredrik Backman,Barnes and Noble Reads,,,,Fiction,,,,,,,,,popular author of A Man Called Ove - recent movie,,,,,,,,,,,,,,,,,,,,,Fourth Wing
Atmosphere: A love Story,Taylor Jenkins Reid,Barnes and Noble Reads,,,,Fiction,,,,,,,,,GMA Book Club Pick,,,,,,,,,,,,,,,,,,,,,Zodiac Academy
"The Savage, Noble Death of Babs Dionne",Ron Currie,,,,,Fiction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hunger Games
Caught Up,Navessa Allen,Barnes and Noble Reads,,,,Romance,,,,,,,,,third in series,,,,,,,,,,,,,,,,,,,,,Harry Potter
Summer in the City ,Alex Aster,Barnes and Noble Reads,,,,Romance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rachel Gilig
Flirting Lessons,Jasmine Guillory,Barnes and Noble Reads,,,,Romance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carissa Broadbent
Problematic Summer Romance,Ali Hazelwood,Barnes and Noble Reads,,,,Romance,,,,,,,,,author constantly trending on tik tok,,,,,,,,,,,,,,,,,,,,,Brandon Sanderson
Great Big Beautiful Life,Emily Henry,Barnes and Noble Reads,,,,Romance,,,,,,,,,"Reese's Book Club, frequent booktok author",,,,,,,,,,,,,,,,,,,,,
King of Envy,Ana Huang,Barnes and Noble Reads,,,,Romance,,,,,,,,,5/7 books,,,,,,,,,,,,,,,,,,,,,
Say You'll Remember Me,Abby Jimenez,Barnes and Noble Reads,,,,Romance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Can't Get Enough,Kennedy Ryan,Barnes and Noble Reads,,,,Romance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wild andd Wrangled: A Rebel Blue Ranch Novel,Lyla Sage,Barnes and Noble Reads,,,,Romance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scythe and Sparrow,Brynne Weaver,Barnes and Noble Reads,,,,Romance,,,,,,,,,3rd book in series - final book,,,,,,,,,,,,,,,,,,,,,
Sunrise on the Reaping,Suzanne Collines,Barnes and Noble Reads,,,,YA,,,,,,,,,highly anticipated,,,,,,,,,,,distopian,,,,,,,,,,
Fearless,Lauren Roberts,Barnes and Noble Reads,,,,YA,,,,,,,,,third book - author controversy,,,,,,,,,,,,,,,,,,,,,
Wings of Starlight,Allison Saft,Barnes and Noble Reads,,,,YA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oathbound,Tracy Deonn,Barnes and Noble Reads,,,,YA,,,,,,,,,thirs book - controversial release (not enough hype) diversity,,,,,,,,,,,diversity,,,,,,,,,,
Our Infinite Fates,Laura Steven,Barnes and Noble Reads,,,,YA,,,,,,,,,YA Book Club pick,,,,,,,,,,,,,,,,,,,,,
Watch Me,Tehereh Mafi,Barnes and Noble Reads,,,,YA,,,,,,,,,return to series universe,,,,,,,,,,,,,,,,,,,,,
The Survivor Wants to Die at the End,Adam Silvera,Barnes and Noble Reads,,,,YA,,,,,,,,,third in series,,,,,,,,,,,,,,,,,,,,,
A Forgery of Fate,Elizabeth Lim,Barnes and Noble Reads,,,,YA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
His Face Is the Sun,Michelle Jabes Corpora,Barnes and Noble Reads,,,,YA,,,,,,,,,new series,,,,,,,,,,,LGBTQ+ rep,,,,,,,,,,
I Am Not Jessica Chen,Anna Liang,Barnes and Noble Reads,,,,YA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All the Missing Pieces,Catherine Cowles,BookTok January 2025,,,,,,,,,,,,,new january release,,,,,,,,,,,,,,,,,,,,,
Bad Little Bride,Meagan Brandy,BookTok January 2025,,,,,,,,,,,,,new january release,,,,,,,,,,,,,,,,,,,,,
Stealing Sunshine,Hannah Cowan,BookTok January 2025,,,,,,,,,,,,,new january release,,,,,,,,,,,,,,,,,,,,,
Immortal ,Sue Lynn Tan,BookTok January 2025,,,,,,,,,,,,,new january release,,,,,,,,,,,,,,,,,,,,,
Steal My Heart,Laura Pavlov,BookTok January 2025,,,,,,,,,,,,,new january release,,,,,,,,,,,,,,,,,,,,,
Chase Lovett Wants Me,Helena Hunting,BookTok January 2025,,,,,,,,,,,,,new january release,,,,,,,,,,,,,,,,,,,,,
His in the Dark,Willa Winters,BookTok January 2025,,,,,,,,,,,,,new january release,,,,,,,,,,,,,,,,,,,,,
Once Smitten Twice Shy,Chloe Liese,BookTok January 2025,,,,,,,,,,,,,new january release,,,,,,,,,,,,,,,,,,,,,
Beautiful Ugly,Alice Feeney,BookTok January 2025,,,,,,,,,,,,,new january release,,,,,,,,,,,,,,,,,,,,,
Reckless Love,,BookTok January 2025,,,,,,,,,,,,,new january release,,,,,,,,,,,,,,,,,,,,,
Cruel is the Light,Sophie Clark,BookTok January 2025,,,,,,,,,,,,,new january release,,,,,,,,,,,,,,,,,,,,,
Out of the Woods,Hannah Bonam-Young,BookTok January 2025,,,,,,,,,,,,,new january release,,,,,,,,,,,,,,,,,,,,,
Spiral,Bal Khabra,BookTok January 2025,,,,,,,,,,,,,new january release,,,,,,,,,,,,,,,,,,,,,
Where Did You Go,Jeneane O'Riley,BookTok January 2025,,,,,,,,,,,,,new january release,,,,,,,,,,,,,,,,,,,,,
The Night Defying,Chloe C. Penaranda,BookTok January 2025,,,,,,,,,,,,,new january release,,,,,,,,,,,,,,,,,,,,,
The Crash,Frieda McFadden,BookTok January 2025,,,,,,,,,,,,,new january release,,,,,,,,,,,,,,,,,,,,,
Comeback,Rebecca Jenshak,BookTok January 2025,,,,,,,,,,,,,new january release,,,,,,,,,,,,,,,,,,,,,
Phantom ,H. D. Carlton,BookTok January 2025,,,,,,,,,,,,,new january release,,,,,,,,,,,,,,,,,,,,,
The Wedding People,Alison Espach,BookTok January 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Favourites,Layne Fargo,BookTok January 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Binding 13,Chloe Walsh,BookTok January 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Apple Tree,Jewel E. Ann,BookTok January 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redeeming 6,Chloe Walsh,BookTok January 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Great Alone,Kristin Hannah,BookTok January 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Only Love Can Hurt Like This,Paige Toon,BookTok January 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hunger Games,Suzanne Collins,BookTok January 2025,,,,,,,,,,,,,entire series re-read - prep for Haymitch's story,,,,,,,,,,,,,,,,,,,,,
Belladonna,Adalyn Grace,BookTok January 2025,,,,,,,,,,,,,series,,,,,,,,,,,,,,,,,,,,,
Credence,Penelope Douglas,BookTok January 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quicksilver,Callie Hart,BookTok January 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Gods and Monsters,Kayla Edwards,BookTok January 2025,,,,,,,,,,,,,series,,,,,,,,,,,,,,,,,,,,,
The Three Lives of Cate Kay,Kate Fagan,BookTok January 2025,,,,,,,,,,,,,Reese's Book Club pick ,,,,,,,,,,,,,,,,,,,,,
The Anxious Generation,Jonathon Haidt,BookTok January 2025,,,,,,,,,,,,,public library most requested,,,,,,,,,,,,,,,,,,,,,
The Frozen River,Ariel Lawhon,BookTok January 2025,,,,,,,,,,,,,public library most requested,,,,,,,,,,,,,,,,,,,,,
All the Colors of the Dark,Chris Whitaker,BookTok January 2025,,,,,,,,,,,,,public library most requested,,,,,,,,,,,,,,,,,,,,,
The Women ,Kristin Hannah,BookTok January 2025,,,,,,,,,,,,,public library most requested,,,,,,,,,,,,,,,,,,,,,
James,Percival Everett,BookTok January 2025,,,,,,,,,,,,,public library most requested,,,,,,,,,,,,,,,,,,,,,
The God of the Woods,Liz Moore,BookTok January 2025,,,,,,,,,,,,,public library most requested,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,des moines public library - most requested books by month on their tik tok account,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LegendBorn,Tracy Deonn,February BookTok 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lady of Darkness series,Melissa K Roerich,February BookTok 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deep End,Ali Hazelwood,February BookTok 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hurricane Wars,Thea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fireborne,Rosaria Munda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plated Prisoner Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amid Cloud and Bones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
